all_trips_v2$member_casual,all_trips_v2$end_station_name,all_trips_v2$ride_id
member,Bloomingdale Ave & Harlem Ave,7
casual,Blue Island Ave & 18th St,2455
member,Blue Island Ave & 18th St,3377
casual,Bosworth Ave & Howard St,242
member,Bosworth Ave & Howard St,606
casual,Bradley Park,60
member,Bradley Park,4
casual,Broadway & Argyle St,3422
member,Broadway & Argyle St,5386
casual,Broadway & Barry Ave,11919
member,Broadway & Barry Ave,17479
casual,Broadway & Belmont Ave,7376
member,Broadway & Belmont Ave,9537
casual,Broadway & Berwyn Ave,2762
member,Broadway & Berwyn Ave,5477
casual,Broadway & Cornelia Ave,8269
member,Broadway & Cornelia Ave,11851
casual,Broadway & Granville Ave,2957
member,Broadway & Granville Ave,4268
casual,Broadway & Ridge Ave,2196
member,Broadway & Ridge Ave,4361
casual,Broadway & Sheridan Rd,5475
member,Broadway & Sheridan Rd,8295
casual,Broadway & Thorndale Ave,2828
member,Broadway & Thorndale Ave,4177
casual,Broadway & Waveland Ave,7251
member,Broadway & Waveland Ave,12927
casual,Broadway & Wilson - Truman College Vaccination Site,3700
member,Broadway & Wilson - Truman College Vaccination Site,6258
casual,Buckingham Fountain,9488
member,Buckingham Fountain,1797
casual,Budlong Woods Library,528
member,Budlong Woods Library,502
casual,Burling St & Diversey Pkwy,5434
member,Burling St & Diversey Pkwy,9528
casual,Burnham Greenway & 105th St,160
member,Burnham Greenway & 105th St,26
casual,Burnham Greenway & 112th St,115
member,Burnham Greenway & 112th St,16
casual,Burnham Harbor,5183
member,Burnham Harbor,7157
casual,California & 16th St,9
member,California & 16th St,11
casual,California Ave & 21st St,566
member,California Ave & 21st St,747
casual,California Ave & 23rd Pl,207
member,California Ave & 23rd Pl,464
casual,California Ave & 26th St,120
member,California Ave & 26th St,245
casual,California Ave & 29th St,1
member,California Ave & 29th St,4
casual,California Ave & 36th St,18
member,California Ave & 36th St,1
casual,California Ave & Altgeld St,1998
member,California Ave & Altgeld St,1918
casual,California Ave & Byron St,1054
member,California Ave & Byron St,1197
casual,California Ave & Cortez St,2613
member,California Ave & Cortez St,2870
casual,California Ave & Devon Ave - NE,3
member,California Ave & Devon Ave - NE,8
casual,California Ave & Devon Ave - NW,3
member,California Ave & Devon Ave - NW,2
casual,California Ave & Division St,2169
member,California Ave & Division St,1806
casual,California Ave & Fletcher St,1981
member,California Ave & Fletcher St,1663
casual,California Ave & Francis Pl (Temp),2017
member,California Ave & Francis Pl (Temp),2086
casual,California Ave & Lake St,388
member,California Ave & Lake St,378
casual,California Ave & Marquette Rd,29
member,California Ave & Marquette Rd,3
casual,California Ave & Milwaukee Ave,5556
member,California Ave & Milwaukee Ave,5351
casual,California Ave & Montrose Ave,1175
member,California Ave & Montrose Ave,1761
casual,California Ave & North Ave,2228
member,California Ave & North Ave,2340
casual,California Ave & Ogden Ave,1
casual,California Ave & Pershing Rd,3
casual,California Ave & Touhy Ave - NW,2
member,California Ave & Touhy Ave - NW,4
casual,California Ave & Winona St,21
member,California Ave & Winona St,100
casual,Calumet Ave & 18th St,3805
member,Calumet Ave & 18th St,5705
casual,Calumet Ave & 21st St,2154
member,Calumet Ave & 21st St,1895
casual,Calumet Ave & 33rd St,695
member,Calumet Ave & 33rd St,4488
casual,Calumet Ave & 35th St,747
member,Calumet Ave & 35th St,1384
casual,Calumet Ave & 51st St,523
member,Calumet Ave & 51st St,284
casual,Calumet Ave & 71st St,42
member,Calumet Ave & 71st St,12
casual,Calumet Park,308
member,Calumet Park,69
casual,Campbell Ave & 51st St,29
member,Campbell Ave & 51st St,5
casual,Campbell Ave & Fullerton Ave,1706
member,Campbell Ave & Fullerton Ave,1645
casual,Campbell Ave & Irving Park Rd,14
member,Campbell Ave & Irving Park Rd,15
casual,Campbell Ave & Montrose Ave,629
member,Campbell Ave & Montrose Ave,2182
casual,Campbell Ave & North Ave,3035
member,Campbell Ave & North Ave,2769
casual,Canal St & Adams St,4674
member,Canal St & Adams St,13776
casual,Canal St & Harrison St,804
member,Canal St & Harrison St,1814
casual,Canal St & Jackson Blvd,1981
member,Canal St & Jackson Blvd,5961
casual,Canal St & Madison St,4264
member,Canal St & Madison St,10602
casual,Canal St & Monroe St,2523
member,Canal St & Monroe St,7120
casual,Canal St & Taylor St,2192
member,Canal St & Taylor St,4015
casual,Cannon Dr & Fullerton Ave,4729
member,Cannon Dr & Fullerton Ave,2468
casual,Carpenter St & 63rd St,26
member,Carpenter St & 63rd St,9
casual,Carpenter St & Huron St,4046
member,Carpenter St & Huron St,6103
casual,Central Ave & Chicago Ave,143
member,Central Ave & Chicago Ave,376
casual,Central Ave & Congress Pkwy,1
casual,Central Ave & Corcoran Pl,3
member,Central Ave & Corcoran Pl,1
casual,Central Ave & George St,1
member,Central Ave & George St,4
casual,Central Ave & Harrison St,115
member,Central Ave & Harrison St,39
casual,Central Ave & Lake St,152
member,Central Ave & Lake St,89
casual,Central Ave & Madison St,81
member,Central Ave & Madison St,167
member,Central Ave & North Ave,1
casual,Central Ave & Parker Ave,50
member,Central Ave & Parker Ave,21
casual,Central Ave & Roscoe St,67
member,Central Ave & Roscoe St,53
casual,Central Park & Augusta Blvd,15
member,Central Park & Augusta Blvd,22
casual,Central Park Ave & 24th St,158
member,Central Park Ave & 24th St,52
casual,Central Park Ave & Bloomingdale Ave,1830
member,Central Park Ave & Bloomingdale Ave,1264
casual,Central Park Ave & Douglas Blvd,48
member,Central Park Ave & Douglas Blvd,13
casual,Central Park Ave & Elbridge Ave,847
member,Central Park Ave & Elbridge Ave,1079
casual,Central Park Ave & North Ave,889
member,Central Park Ave & North Ave,274
casual,Central Park Ave & Ogden Ave,338
member,Central Park Ave & Ogden Ave,212
casual,Central Park Ave & Ohio St,31
member,Central Park Ave & Ohio St,13
casual,Central Park Blvd & 5th Ave,142
member,Central Park Blvd & 5th Ave,45
casual,Central St & Girard Ave,452
member,Central St & Girard Ave,666
casual,Central St Metra,594
member,Central St Metra,774
casual,Champlain Ave & 134th St,1
member,Chase Ave & Touhy Ave - NW,1
casual,Cherry Ave & Blackhawk St,638
member,Cherry Ave & Blackhawk St,1367
casual,Chicago Ave & Sheridan Rd,2552
member,Chicago Ave & Sheridan Rd,2140
casual,Chicago Ave & Washington St,1315
member,Chicago Ave & Washington St,2142
casual,Chicago State University,183
member,Chicago State University,245
casual,Chopin Park,1
casual,Christiana Ave & 55th St,1
casual,Christiana Ave & Archer Ave,1
member,Christiana Ave & Archer Ave,3
casual,Christiana Ave & Belmont Ave,6
member,Christiana Ave & Belmont Ave,10
casual,Christiana Ave & Lawrence Ave,763
member,Christiana Ave & Lawrence Ave,741
member,Cicero Ave & Altgeld St,1
casual,Cicero Ave & Cortland St - midblock,1
casual,Cicero Ave & Flournoy St,47
member,Cicero Ave & Flournoy St,21
casual,Cicero Ave & Grace St,28
member,Cicero Ave & Grace St,13
casual,Cicero Ave & Lake St,102
member,Cicero Ave & Lake St,18
casual,Cicero Ave & North Ave,1
casual,Cicero Ave & Quincy St,79
member,Cicero Ave & Quincy St,10
casual,Cicero Ave & Roscoe St,6
member,Cicero Ave & Roscoe St,1
casual,Cicero Ave & Wellington Ave,4
member,Cicero Ave & Wellington Ave,27
casual,Cicero Ave & Wrightwood Ave,5
member,Cicero Ave & Wrightwood Ave,16
casual,Cityfront Plaza Dr & Pioneer Ct,6018
member,Cityfront Plaza Dr & Pioneer Ct,6490
member,Claremont Ave & 71st St,1
casual,Claremont Ave & Hirsch St,1286
member,Claremont Ave & Hirsch St,1390
casual,Clarendon Ave & Gordon Ter,4371
member,Clarendon Ave & Gordon Ter,8228
casual,Clarendon Ave & Junior Ter,4742
member,Clarendon Ave & Junior Ter,6870
casual,Clarendon Ave & Leland Ave,2860
member,Clarendon Ave & Leland Ave,3984
casual,Clark St & 9th St (AMLI),2426
member,Clark St & 9th St (AMLI),3661
casual,Clark St & Armitage Ave,15382
member,Clark St & Armitage Ave,15792
casual,Clark St & Berwyn Ave,4547
member,Clark St & Berwyn Ave,5980
casual,Clark St & Bryn Mawr Ave,2847
member,Clark St & Bryn Mawr Ave,4818
casual,Clark St & Chicago Ave,5952
member,Clark St & Chicago Ave,7723
casual,Clark St & Columbia Ave,726
member,Clark St & Columbia Ave,1487
casual,Clark St & Drummond Pl,9205
member,Clark St & Drummond Pl,13812
casual,Clark St & Elm St,14385
member,Clark St & Elm St,23785
casual,Clark St & Elmdale Ave,1168
member,Clark St & Elmdale Ave,2081
casual,Clark St & Grace St,7978
member,Clark St & Grace St,7910
casual,Clark St & Ida B Wells Dr,1641
member,Clark St & Ida B Wells Dr,4087
casual,Clark St & Jarvis Ave,276
member,Clark St & Jarvis Ave,697
casual,Clark St & Lake St,6635
member,Clark St & Lake St,9317
casual,Clark St & Leland Ave,3340
member,Clark St & Leland Ave,5450
casual,Clark St & Lincoln Ave,15966
member,Clark St & Lincoln Ave,15100
casual,Clark St & Lunt Ave,800
member,Clark St & Lunt Ave,1717
casual,Clark St & Montrose Ave,2143
member,Clark St & Montrose Ave,3488
casual,Clark St & Newport St,11940
member,Clark St & Newport St,10020
casual,Clark St & North Ave,6855
member,Clark St & North Ave,6422
casual,Clark St & Randolph St,5047
member,Clark St & Randolph St,11163
casual,Clark St & Schiller St,8530
member,Clark St & Schiller St,12789
casual,Clark St & Schreiber Ave,966
member,Clark St & Schreiber Ave,1890
casual,Clark St & Touhy Ave,387
member,Clark St & Touhy Ave,469
casual,Clark St & Wellington Ave,7335
member,Clark St & Wellington Ave,11289
casual,Clark St & Winnemac Ave,4982
member,Clark St & Winnemac Ave,7417
casual,Clark St & Wrightwood Ave,10731
member,Clark St & Wrightwood Ave,13690
casual,Clifton Ave & Armitage Ave,4165
member,Clifton Ave & Armitage Ave,7672
casual,Clinton St & 18th St,1190
member,Clinton St & 18th St,1923
casual,Clinton St & Jackson Blvd,3730
member,Clinton St & Jackson Blvd,11371
casual,Clinton St & Lake St,5322
member,Clinton St & Lake St,12887
casual,Clinton St & Madison St,7194
member,Clinton St & Madison St,19005
casual,Clinton St & Polk St,497
member,Clinton St & Polk St,680
casual,Clinton St & Roosevelt Rd,3270
member,Clinton St & Roosevelt Rd,4963
casual,Clinton St & Tilden St,1189
member,Clinton St & Tilden St,2349
casual,Clinton St & Washington Blvd,4664
member,Clinton St & Washington Blvd,18597
casual,Clybourn Ave & Division St,2215
member,Clybourn Ave & Division St,4691
casual,Clyde Ave & 87th St,103
member,Clyde Ave & 87th St,15
member,Colfax Ave & 83rd St,1
casual,Columbus Dr & Randolph St,7865
member,Columbus Dr & Randolph St,10760
casual,Commercial Ave & 100th St,40
member,Commercial Ave & 100th St,5
casual,Commercial Ave & 130th St,91
member,Commercial Ave & 130th St,19
casual,Commercial Ave & 83rd St,113
member,Commercial Ave & 83rd St,31
casual,Conservatory Dr & Lake St,518
member,Conservatory Dr & Lake St,242
casual,Constance Ave & 95th St,79
member,Constance Ave & 95th St,14
casual,Cornell Ave & Hyde Park Blvd,2943
member,Cornell Ave & Hyde Park Blvd,4217
casual,Cornell Dr & Hayes Dr,270
member,Cornell Dr & Hayes Dr,107
member,Cottage Grove & 84th St,1
member,Cottage Grove & 86th St,1
casual,Cottage Grove Ave & 111th Pl,116
member,Cottage Grove Ave & 111th Pl,39
casual,Cottage Grove Ave & 111th St,1
member,Cottage Grove Ave & 111th St,1
casual,Cottage Grove Ave & 43rd St,354
member,Cottage Grove Ave & 43rd St,402
casual,Cottage Grove Ave & 47th St,648
member,Cottage Grove Ave & 47th St,493
casual,Cottage Grove Ave & 51st St,594
member,Cottage Grove Ave & 51st St,392
casual,Cottage Grove Ave & 63rd St,555
member,Cottage Grove Ave & 63rd St,295
casual,Cottage Grove Ave & 67th St,231
member,Cottage Grove Ave & 67th St,77
casual,Cottage Grove Ave & 71st St,129
member,Cottage Grove Ave & 71st St,24
member,Cottage Grove Ave & 75th St,1
casual,Cottage Grove Ave & 78th St,81
member,Cottage Grove Ave & 78th St,38
casual,Cottage Grove Ave & 83rd St,153
member,Cottage Grove Ave & 83rd St,73
member,Cottage Grove Ave & 87th St,3
member,Cottage Grove Ave & 98th St,6
casual,Cottage Grove Ave & Oakwood Blvd,978
member,Cottage Grove Ave & Oakwood Blvd,486
casual,Daley Center Plaza,5717
member,Daley Center Plaza,12884
casual,Damen Ave & 33rd St,21
member,Damen Ave & 33rd St,23
casual,Damen Ave & 47th St,2
casual,Damen Ave & 51st St,77
member,Damen Ave & 51st St,10
casual,Damen Ave & 59th St,148
member,Damen Ave & 59th St,22
casual,Damen Ave & 74th St,20
member,Damen Ave & 74th St,1
casual,Damen Ave & Charleston St,3012
member,Damen Ave & Charleston St,3247
casual,Damen Ave & Chicago Ave,4860
member,Damen Ave & Chicago Ave,7332
casual,Damen Ave & Clybourn Ave,2022
member,Damen Ave & Clybourn Ave,3015
casual,Damen Ave & Cortland St,5847
member,Damen Ave & Cortland St,6655
casual,Damen Ave & Coulter St,357
member,Damen Ave & Coulter St,282
casual,Damen Ave & Cullerton St,1513
member,Damen Ave & Cullerton St,1510
casual,Damen Ave & Division St,4613
member,Damen Ave & Division St,6354
casual,Damen Ave & Foster Ave,1682
member,Damen Ave & Foster Ave,2216
casual,Damen Ave & Grand Ave,2513
member,Damen Ave & Grand Ave,3209
casual,Damen Ave & Leland Ave,1452
member,Damen Ave & Leland Ave,3701
casual,Damen Ave & Madison St,1520
member,Damen Ave & Madison St,1587
casual,Damen Ave & Melrose Ave,1778
member,Damen Ave & Melrose Ave,1885
casual,Damen Ave & Pershing Rd,235
member,Damen Ave & Pershing Rd,215
casual,Damen Ave & Pierce Ave,10687
member,Damen Ave & Pierce Ave,11022
casual,Damen Ave & Sunnyside Ave,1126
member,Damen Ave & Sunnyside Ave,2016
casual,Damen Ave & Thomas St (Augusta Blvd),2918
member,Damen Ave & Thomas St (Augusta Blvd),4322
casual,Damen Ave & Wabansia Ave,553
member,Damen Ave & Wabansia Ave,580
casual,Damen Ave & Walnut (Lake) St,1412
member,Damen Ave & Walnut (Lake) St,1674
casual,Damen Ave & Wellington Ave,2468
member,Damen Ave & Wellington Ave,2489
casual,Dauphin Ave & 103rd St,78
member,Dauphin Ave & 103rd St,16
casual,Dauphin Ave & 87th St,132
member,Dauphin Ave & 87th St,23
casual,Dayton St & North Ave,4723
member,Dayton St & North Ave,7121
casual,Dearborn Pkwy & Delaware Pl,8827
member,Dearborn Pkwy & Delaware Pl,14138
casual,Dearborn St & Adams St,3290
member,Dearborn St & Adams St,6229
casual,Dearborn St & Erie St,11434
member,Dearborn St & Erie St,18895
casual,Dearborn St & Monroe St,5909
member,Dearborn St & Monroe St,11681
casual,Dearborn St & Van Buren St,3164
member,Dearborn St & Van Buren St,4197
casual,Delano Ct & Roosevelt Rd,3014
member,Delano Ct & Roosevelt Rd,3954
casual,Desplaines St & Jackson Blvd,3069
member,Desplaines St & Jackson Blvd,8676
casual,Desplaines St & Kinzie St,7618
member,Desplaines St & Kinzie St,14786
casual,Desplaines St & Randolph St,5028
member,Desplaines St & Randolph St,7238
casual,DIVVY CASSETTE REPAIR MOBILE STATION,4
casual,Dodge Ave & Church St,298
member,Dodge Ave & Church St,482
casual,Dodge Ave & Main St,230
member,Dodge Ave & Main St,217
casual,Dodge Ave & Mulford St,288
member,Dodge Ave & Mulford St,259
casual,Dorchester Ave & 49th St,448
member,Dorchester Ave & 49th St,631
casual,Dorchester Ave & 63rd St,627
member,Dorchester Ave & 63rd St,192
casual,Doty Ave & 111th St,21
member,Doty Ave & 111th St,5
casual,Drake Ave & Addison St,438
member,Drake Ave & Addison St,404
casual,Drake Ave & Montrose Ave,489
member,Drake Ave & Montrose Ave,712
casual,Dusable Harbor,13210
member,Dusable Harbor,6123
casual,DuSable Lake Shore Dr & Belmont Ave,7967
member,DuSable Lake Shore Dr & Belmont Ave,8007
casual,DuSable Lake Shore Dr & Diversey Pkwy,7495
member,DuSable Lake Shore Dr & Diversey Pkwy,7908
casual,DuSable Lake Shore Dr & Monroe St,21699
member,DuSable Lake Shore Dr & Monroe St,7608
casual,DuSable Lake Shore Dr & North Blvd,21907
member,DuSable Lake Shore Dr & North Blvd,12967
casual,DuSable Lake Shore Dr & Ohio St,5875
member,DuSable Lake Shore Dr & Ohio St,4087
casual,DuSable Lake Shore Dr & Wellington Ave,7230
member,DuSable Lake Shore Dr & Wellington Ave,8596
casual,DuSable Museum,301
member,DuSable Museum,600
casual,East End Ave & 87th St,67
member,East End Ave & 87th St,55
casual,Eastlake Ter & Rogers Ave,721
member,Eastlake Ter & Rogers Ave,1419
casual,Eberhart Ave & 131st St,67
member,Eberhart Ave & 131st St,7
casual,Eberhart Ave & 61st St,378
member,Eberhart Ave & 61st St,106
casual,Eberhart Ave & 91st St,128
member,Eberhart Ave & 91st St,41
casual,Eckhart Park,4079
member,Eckhart Park,5685
casual,Eggleston Ave & 69th St,67
member,Eggleston Ave & 69th St,16
casual,Eggleston Ave & 92nd St,125
member,Eggleston Ave & 92nd St,13
casual,Eli Whitney Public School,7
casual,Elizabeth (May) St & Fulton St,1934
member,Elizabeth (May) St & Fulton St,4337
casual,Elizabeth St & 47th St,62
member,Elizabeth St & 47th St,14
casual,Elizabeth St & 59th St,30
member,Elizabeth St & 59th St,11
casual,Elizabeth St & 92nd St,104
member,Elizabeth St & 92nd St,5
casual,Ellis Ave & 53rd St,1467
member,Ellis Ave & 53rd St,4071
casual,Ellis Ave & 55th St,2832
member,Ellis Ave & 55th St,11820
casual,Ellis Ave & 58th St,1777
member,Ellis Ave & 58th St,6937
casual,Ellis Ave & 60th St,4331
member,Ellis Ave & 60th St,16611
casual,Ellis Ave & 83rd St,150
member,Ellis Ave & 83rd St,18
casual,Elmwood Ave & Austin St,377
member,Elmwood Ave & Austin St,705
casual,Elston Ave & Cortland St,3359
member,Elston Ave & Cortland St,4812
casual,Elston Ave & George St,98
member,Elston Ave & George St,122
casual,Elston Ave & Henderson St,48
member,Elston Ave & Henderson St,35
casual,Elston Ave & Wabansia Ave,1369
member,Elston Ave & Wabansia Ave,1997
casual,Emerald Ave & 28th St,645
member,Emerald Ave & 28th St,2022
casual,Emerald Ave & 31st St,1307
member,Emerald Ave & 31st St,4670
casual,Evans Ave & 75th St,105
member,Evans Ave & 75th St,23
casual,Evanston Civic Center,680
member,Evanston Civic Center,684
member,Ewing Ave & 105th St,1
member,Ewing Ave & 99th St,1
casual,Ewing Ave & Burnham Greenway,60
member,Ewing Ave & Burnham Greenway,35
casual,Exchange Ave & 79th St,110
member,Exchange Ave & 79th St,85
casual,Fairbanks Ct & Grand Ave,12309
member,Fairbanks Ct & Grand Ave,11823
casual,Fairbanks St & Superior St,2788
member,Fairbanks St & Superior St,6528
casual,Fairfield Ave & 44th St,12
member,Fairfield Ave & 44th St,2
casual,Fairfield Ave & Roosevelt Rd,289
member,Fairfield Ave & Roosevelt Rd,331
casual,Federal St & Polk St,7465
member,Federal St & Polk St,11398
casual,Field Blvd & South Water St,5728
member,Field Blvd & South Water St,7149
casual,Field Museum,5341
member,Field Museum,1756
casual,Financial Pl & Ida B Wells Dr,2247
member,Financial Pl & Ida B Wells Dr,5155
casual,Forrestville Ave & 47th St,1
casual,Fort Dearborn Dr & 31st St,5563
member,Fort Dearborn Dr & 31st St,4120
casual,Francisco Ave & 47th St,44
member,Francisco Ave & 47th St,5
casual,Francisco Ave & Bloomingdale Ave,21
member,Francisco Ave & Bloomingdale Ave,75
casual,Francisco Ave & Foster Ave,743
member,Francisco Ave & Foster Ave,1296
casual,Francisco Ave & Hollywood Ave,4
member,Francisco Ave & Hollywood Ave,4
casual,Francisco Ave & Montrose Ave,49
member,Francisco Ave & Montrose Ave,103
casual,Franklin St & Adams St (Temp),4239
member,Franklin St & Adams St (Temp),5927
casual,Franklin St & Chicago Ave,4545
member,Franklin St & Chicago Ave,10065
casual,Franklin St & Illinois St,6383
member,Franklin St & Illinois St,9667
casual,Franklin St & Jackson Blvd,6500
member,Franklin St & Jackson Blvd,11042
casual,Franklin St & Lake St,5447
member,Franklin St & Lake St,9863
casual,Franklin St & Monroe St,3762
member,Franklin St & Monroe St,9248
casual,Fullerton & Monitor,13
member,Fullerton & Monitor,25
casual,Glenwood Ave & Morse Ave,1457
member,Glenwood Ave & Morse Ave,2672
casual,Glenwood Ave & Touhy Ave,777
member,Glenwood Ave & Touhy Ave,1192
casual,Grand Ave & North Ave,3
casual,Green St & 103rd St,1
casual,Green St & Madison St,10171
member,Green St & Madison St,16932
casual,Green St & Randolph St,9581
member,Green St & Randolph St,9658
casual,Green St & Randolph St*,829
member,Green St & Randolph St*,817
casual,Greenview Ave & Diversey Pkwy,3179
member,Greenview Ave & Diversey Pkwy,4028
casual,Greenview Ave & Fullerton Ave,5765
member,Greenview Ave & Fullerton Ave,7859
casual,Greenview Ave & Jarvis Ave,819
member,Greenview Ave & Jarvis Ave,2152
casual,Greenwood Ave & 47th St,868
member,Greenwood Ave & 47th St,855
casual,Greenwood Ave & 79th St,106
member,Greenwood Ave & 79th St,30
casual,Greenwood Ave & 91st St,55
member,Greenwood Ave & 91st St,13
casual,Greenwood Ave & 97th St,141
member,Greenwood Ave & 97th St,19
casual,Hale Ave & 107th St,157
member,Hale Ave & 107th St,62
casual,Halsted & 63rd - Kennedy-King Vaccination Site,99
member,Halsted & 63rd - Kennedy-King Vaccination Site,60
casual,Halsted St & 104th St,69
member,Halsted St & 104th St,18
casual,Halsted St & 111th St,63
member,Halsted St & 111th St,25
casual,Halsted St & 18th St,724
member,Halsted St & 18th St,1131
casual,Halsted St & 18th St (Temp),703
member,Halsted St & 18th St (Temp),982
casual,Halsted St & 21st St,1067
member,Halsted St & 21st St,915
casual,Halsted St & 35th St,898
member,Halsted St & 35th St,1192
casual,Halsted St & 37th St,349
member,Halsted St & 37th St,363
casual,Halsted St & 47th Pl,229
member,Halsted St & 47th Pl,419
casual,Halsted St & 51st St,111
member,Halsted St & 51st St,45
casual,Halsted St & 56th St,61
member,Halsted St & 56th St,14
casual,Halsted St & 59th St,39
member,Halsted St & 59th St,18
casual,Halsted St & 63rd St,1
member,Halsted St & 63rd St,1
casual,Halsted St & 69th St,39
member,Halsted St & 69th St,14
casual,Halsted St & 73rd St,91
member,Halsted St & 73rd St,26
